Units,B2,Donated,Context
"I had heard about the McDonald's charity and see the change box, but I did not know much about it until a customer told me his son used their services when i was getting food once That is very interesting. Do you know anyone personally who has benefited from charities ? I have helped at soup kitchens before but that's my own extent
",20180824-023730_85_live,yes,
"I may chose to do so or maybe not cus of my stance. Are you going to donate? O ok. Why not?
",20180824-124301_523_live,no,stop
"Not very much of a life. Maybe we will get a dollar. lol same to you and good night
",20180824-022557_24_live,no,
"so 500 is the agreed upon amount I am good with that number also
",20180824-015542_821_live,yes,
"not my time anymore no...too busy I would choose 0 in this instance
",20180824-015242_301_live,no,
"Ok where are those people located? I usually prefer to donate directly, like the salvation army for example on a street corner
",20180824-122300_862_live,no,
"Thanks. Just to confirm, I'm donating 80% of my task amount. Thanks very much, nice speaking to you.
",20180824-022709_450_live,yes,
"I think I need a little time to decide to donate I will donate $0.15
",20180824-130122_363_live,yes,
"I would like to help the children in Africa too, they have basic needs that a couple dollars could really help! I think I will look into save the children later, thanks for the advice
",20180823-020542_443_live,yes,
"I'm not doing half I'm doing a third. Yes I am, 
",20180823-020508_596_live,yes,
"It's basically the leading organization in wildlife conservation and endangered species Yeah I always enjoy helping animals if I can!
",20180829-085544_678_live,yes,
"Sorry, but I have no reason to believe that so I am not going to donate I choose to donate 0
",20180829-074215_511_live,no,clear
"Aww, that's so great!! I'm sure your SIL is happy to be part of the family. Good for you guys :) So to shift topics, I guess we're supposed to make a decision here? I've decided not to make any donation here because I will carefully plan it all out at the end of the year. I don't like spur of the moment donating, and I need the money right now.
",20180829-122147_798_live,no,stop
"I don't believe I will donate anything. $0. I wish you would come along with us next weekend to Oklahoma and help build the Community Center we are working on, any amount helps.
",20180829-065854_948_live,no,
"I think different types of aid is needed in this situation I dont, I personally believe it's time countries start solving their own issues.
",20180829-055223_138_live,no,clear
"It's very hard to get anything done with their help No, I deon't have enough money for charity, I used to try ,but they spent more to get from me than what I gave, so no I just don't
",20180829-100816_672_live,no,stop
"I am sorry for the children involved Are you part of the organisation
",20180829-031039_439_live,no,stop
"Okay, that seems pretty fair. I would like to dontate .50 cents
",20180829-141125_448_live,yes,
"I am an animal lover Dogs are great pets. Do you have a pet? I hope it helps!
",20180829-093239_896_live,yes,
"OK, its just good to know that Save the Children is actually real Same here.  These requestors sure can be sneaky.  It was nice chatting with you too!
",20180829-082505_548_live,yes,
"I don't think that I will donate anything today, sorry. It will be put into savings along with my other mturk money.
",20180829-055552_578_live,no,clear
"It's no problem at all. Sure thing!  Thank you.
",20180829-145732_91_live,yes,
"I know. But would I get to indicate a preference of where or how I want it spent? Oh, well that's interesting. I'll give it some thought but I'm not ready to donate yet.
",20180829-133047_305_live,no,stop
"That is understandable. What is the process for becoming a volunteer? That makes sense. Thank you for the information!
",20180829-051330_889_live,no,
"I will donate 25 cents. You're more than welcome.  Have a wonderful day.
",20180829-065354_687_live,yes,
"I was wondering the same thing. I think it's 10 exchanges I haven't counted but we must be very close.  Hopefully we can move on soon to get back to other tasks.
",20180829-084042_694_live,yes,
"Sounds like a well meaning group, ill have to do some research and learn more about their work. Unfortunatly I wont be donating anything today.  I will only donate to organizations i have thoroughly researched to see exactly how they are structured, how the use the money and where it all goes.  I just dont have the time to do that right now, but I will definitely look them up for consideration of future donations. 
",20180829-143714_241_live,no,clear
"ok and thank you ok and thank you
",BAD_20180808-043616_523_live,yes,
"me too, and some where they try way too hard im very mad, ill donate
",BAD_20180808-044211_897_live,yes,
"Maybe, but financial statements are always ""summaries"" and not everyone is fluent in legalese Unfortunately, I will not be making a donation today. As they say, don't light yourself on fire to keep others warm.
",20180808-024552_152_live,no,clear
"what was the procedure how can i contact them 
",20180808-062753_12_live,yes,
"Who runs the organization now? No I am not, but like I said. I will look at it in the future.
",20180808-034448_815_live,no,stop
"Yeah I've seen a lot of the news on Syria, it's horrible. I work with Doctors Without Borders too, glad there are multiple players in the region to help! Yes, $1 - thank you
",20180808-035715_390_live,yes,
"I am sceptical of many of them but if you recommend Save The Children and I know that St Judd's is trustworthy, then that's where my money will go today That's impressive.  I wonder what the member recommendation is for St Jude
",20180808-064649_236_live,yes,
"yes, in fact ill most likely give ten thousand oh thats good
",20180808-042339_620_live,yes,
"It says we need to make a donation agreement Are you willing to donate?  I'm not and if you're not then we should both agree not donate and move one with the survey.
",20180808-005248_38_live,no,
"How would this donation be made? Ok that sounds easy enough. 
",20180808-081317_142_live,no,stop
"Where is the charity located? thank you for the information, I think I am ready to donate
",20180808-004203_194_live,yes,
"will you also give some money today? if you give 1 dollar i will also give 1 dollar
",20180808-030338_328_live,yes,
"I understand this and have supported Unbound a similar charity for years. Since I already donate to a charity like this I am not making a donation. I will not donate anything $0.
",20180808-032124_114_live,no,clear
"What kind of payments do you take? Do you take credit cards? I think that you convinced me. I'll definitely go and make a donation today.
",20180808-032545_201_live,yes,
"I don't have much money for myself either which is why I consider this to be my part time job. I already work full-time to make ends meet. I'm sorry that is very sad.  I'd like to look into this charity more before I donate as well.  I'd like to see how the money is dispersed in the company 
",20180808-063034_444_live,no,clear
"I may donate something!! I am not sure
",20180808-022730_384_live,yes,
"i think that there should be multiple events like summer and winter where people can give more and would help the kids more. so that would be good for them do you think there should be a spending limite per kid when it comes to supplies itself?
",BAD_20180808-050547_490_live,no,stop
"explain this charity then well  now i know this is a joke
",BAD_20180808-061511_890_live,yes,
"That sounds good. I agree to 20 hopefully many more people help out so that they can get food and medicine
",20180808-021732_428_live,yes,
"yes, i work with large chested female volleyball players for free i hope so
",20180808-045404_162_live,yes,
"how much will you donate how much should i give?
",20180808-032354_369_live,no,stop
"When making the donation, what are the steps? Once I decide to make the donation what should I do next? I would like to donate $0. 

",20180808-050533_601_live,no,
"I will, I hope you will as well :) And I of you know that what you re doing is very commendable. The children are our future we must do what we can to protect them
",20180808-073516_16_live,yes,
"I think we have a few turns to go Have a great day!
",20180808-075748_956_live,yes,
"20 DOLLAR FOR THE SAVE THE CHILD. OK , KEEP SAVE THE CHILH
",BAD_20180808-034739_90_live,yes,
"I understand that. But, I choose my own charities independently. Ok, you too!
",20180808-065307_529_live,no,clear
"If you can promise me that none of the money will go to help ANY Muslim child, then I will donate two dollars from my payment then unfortunately, i cannot give any money
",20180808-040435_931_live,no,clear
"I want to be able to start my own charity organizations to help children, animals, cancer patients, and a lot more. I will pray for your heart to not change because you seem to be very kind hearted! God bless you, it seems we can end the chat not, I am almost out of time as well. Thank you so much!
",20180528-051652_449_live,yes,
"Great. Now, the instructions regarding this chat indicate that I can donate from my payment for chatting with you. Does this mean mturk or save the children will automatically be paid if I decide to donate my payment, meaning I do not have to do anything more? Well, thank you for all the good information. I do not choose to donate right now through this chat but be assured that I will certainly call the charity and donate independently. Thanks for your time, nice chatting with you
",20180830-154653_979_live,no,
"Yes, $1 is the amount that I would like to donate. You are welcome. I hope you have a nice day too.
",20180830-155048_517_live,yes,
"Ok, thank you. If I use a credit card instead, can I set up recurring donations? Ok. I think I will use a money order this time.
",20180830-173320_897_live,yes,
"That's good, you seem like a kind person for it Very welcome. How is your night going? 
",20180830-212956_406_live,no,
"I understand that very well. I know I won't. Thanks for the tip!
",20180830-181817_436_live,no,clear
"It's not fear. It's common sense. I think it's very silly to give your money away. I am very human.  I prefer to donate to my own kids.
",20180830-153627_498_live,no,clear
"Yes, I believe that Save the Children is a worthy organization. I would like to keep my earnings. It would take away from me buying blocks for a child in the USA who don't have money to buy anything.
",20180830-192317_46_live,no,clear
"yes it can be it brings out the creativity in you.. and I am grateful to be able to buy food even if it is only whats on sale yes mturk is great and we have oppurtunities that alot of people do not. well it was great chatting with you.
",20180830-160755_786_live,yes,
"It sounds like nature is taking care of overpopulation. I applaud that. Maybe the war is taking care of overpopulation.  Perhaps I should rethink my opinion on war.
",20180830-191022_810_live,no,clear
"Is this monthly donations because I already donate to an organization Hmmm what about 20 cents.
",20180830-154623_7_live,yes,
"that's admirable of you. Do you volunteer with the charity? that's awesome, so maybe I'll donate $.50
",20180830-202306_689_live,yes,
"I really need the money from Mturk. That's why I'm here. You seem really passionate about this non-profit. I just checked their website. Their annual report looks good.
",20180830-154401_340_live,no,
"Not really. Just food and stuff. I don't think I've really wasted much money lately.
",20180830-174602_584_live,no,
"You're right! I would be willing to give $1.00 and then I'll investigate it more. Thank you so much... you have a great weekend too!!
",20180901-183912_261_live,yes,
"Great, I organized a community effort afer the Tsunamiin Japan and the proceedswent to Save the Children too. Not at the moment, but will consider it again at anothertime in my life.Life on the road is expensive hehe. Keep the great efforts and follow your dreams. Bye.
",20180901-093058_490_live,no,
"I don't spend much on useless stuff. Like I said, I donate to a lot of children's organizations. I just feel like I need to research this one further before committing. I hope you understand. $0 for today. I appreciate what you're trying to do, but at this point I feel like I need more information. I will research further though!
",20180901-154211_517_live,no,
"Wow. OKay. YOu don't really know anything about my children or my financial situation. No, I will use those two dollars to provide a feast for my children.
",20180901-170812_961_live,no,clear
"I understand, but St Jude is for the kids as well. I'm going to help Americans, my people. Good luck and have a great day. 
",20180901-064502_492_live,no,
"Than we have reached a donation agreement true? I absolutely do not mind at all
",20180901-121932_143_live,yes,
"sure; but i would need to do more research to see if proceeds to indeed go to where they are intended to go for today, it would be $0, for the reasons discussed.
",20180901-060959_922_live,no,
"Im glad you told me about the work you do. When I have a job again, I will revisit the idea of donating. I understand, and I appreciate the work  you do. But at this time I cannot make a donation to you.
",20180901-200737_151_live,no,
"good to know. I'm not sure what else to ask this is an odd task
",20180901-074748_167_live,no,stop
"Very busy. I am in charge of my sister in law's baby shower, so I'll be finishing plans for her baby shower on Sunday. Great! Thank you/
",20180901-003311_274_live,yes,
"Is .50 ok? I will do .50 then. TY
",20180901-073405_760_live,yes,
"what do you plan to donate this year for christmas? how much? 
",20180827-042538_721_live,no,stop
"If I didn't need as much money as I could work for, I wouldn't be doing freelance here. I've already told you, talking about a charity.
",20180827-040240_717_live,no,
"I would like to donate $0 No thanks. I like to keep my money for now.
",20180827-035202_980_live,no,clear
"How do i donate if i want to donate Okay i will look forward to it then
",20180827-044304_158_live,yes,
"That really wouldn't bother me at all. I'm not donating to your children's charity.  How much are you donating?
",20180827-050740_909_live,no,clear
"Yea...It was feel good...what's about you...? Yea..It's nice too hear....
",20180827-051440_378_live,yes,
"Same, I also like to donate used good too. OLd clothes and stuff Yeah, i definitely want to help the kids
",20180827-044850_308_live,yes,
"That's wonderful. How often are you able to do that? How can I donate? I'm not sure I understand what you said just now.   How can I donate?
",20180827-041027_973_live,yes,
"rather than education what about others? Your are doing a great job.
",20180827-044101_715_live,no,stop
"Okay so are you trying to get me to donate? Alright I will donate.
",20180827-024612_480_live,yes,
"yes, i know children charity. yes sir. but not now one year back.
",BAD_20180827-014924_437_live,no,stop
I do everything I can. The HIT instructions tell you what you need to know.,20180827-041628_386_live,no,
"yes everything is high priced I will look at the website after this survey and read more about it..I promise 
",20180827-053243_818_live,no,clear
"Right on, same here. Very early in the day. Same here, well hey listen it was nice chatting with you. Maybe I will bump into you again in the near future.
",20180827-045223_670_live,no,
"I'm happy to help You as well
",20180827-050542_196_live,yes,
